"Código";"Descrição";"Categoria";"Fabricante";"Modelo";"Unidade";"Valor total";"Fonte"
"4750064";"Roteador Corporativo Sem Fio AP 1350 AC-S";"Modens e Roteadores";"Intelbras";"";"un";"634,36";"EXSAT"
"4780062";"Modem óptico PON 1P LAN ONU R1 Intelbras";"Modens e Roteadores";"Intelbras";"";"un";"94,89";"EXSAT"
"4750129";"Roteador Wi-Fi Mesh Twibi Force AX";"Modens e Roteadores";"Intelbras";"";"un";"261,44";"EXSAT"
"4710018";"Adaptador USB Wireless ACtion A1200";"Modens e Roteadores";"Intelbras";"";"un";"132,90";"EXSAT"
"4780189";"Modem óptico HG6145F3";"Modens e Roteadores";"Intelbras";"";"un";"310,82";"EXSAT"
"4710016";"ADAPTADOR USB WIRELESS IWA 3001";"Modens e Roteadores";"Intelbras";"";"un";"78,00";"EXSAT"
"4750207";"Roteador Wi-Fi SR1041E AX1500";"Modens e Roteadores";"Intelbras";"";"un";"221,89";"EXSAT"
"4780129";"Modem óptico HG6145F3 Wi-Fi 6";"Modens e Roteadores";"Intelbras";"";"un";"345,39";"EXSAT"
"4780160";"Modem óptico PON LAN 4P FXS 1P Intelbras HG6145D2";"Modens e Roteadores";"Intelbras";"";"un";"259,02";"EXSAT"
"4780188";"Modem óptico HG6145D2 Intelbras";"Modens e Roteadores";"Intelbras";"";"un";"194,26";"EXSAT"
"4750073";"Roteador Wireless RF 301K 300 Mbps";"Modens e Roteadores";"Intelbras";"";"un";"101,86";"EXSAT"
"4750201";"Roteador Wi-Fi W5-1200GS Intelbras Dual Band";"Modens e Roteadores";"Intelbras";"";"un";"187,73";"EXSAT"
"4750187";"Roteador Mesh Twibi Force Plug Giga Intelbras";"Modens e Roteadores";"Intelbras";"";"un";"197,93";"EXSAT"
"4760064";"Switch Gerenciável SG 1602 PoE Max 16 Portas";"Switches Gerenciáveis";"Intelbras";"";"un";"2172,56";"EXSAT"
"4760020";"Switch Não Gerenciável 8 Portas PoE SF 800 Q+";"Switches Não Gerenciáveis";"Intelbras";"";"un";"51,57";"EXSAT"
"4760079";"Switch Não Gerenciável 8 Portas SG 800 Q+ Intelbras";"Switches Não Gerenciáveis";"Intelbras";"";"un";"131,46";"EXSAT"
"4760089";"Switch Não Gerenciável 10P S1010F-P Intelbras";"Switches Não Gerenciáveis";"Intelbras";"";"un";"403,21";"EXSAT"
"4760116";"Switch Fast Ethernet PoE 24 Portas S1126F-PA";"Switches Não Gerenciáveis";"Intelbras";"";"un";"1478,81";"EXSAT"
"4760129";"SWITCH FAST ETHERNET HI-POE 24 PORTAS S1126F-HPA";"Switches Não Gerenciáveis";"Intelbras";"";"un";"1554,60";"EXSAT"
"4568021";"Conector CONEX 1000 RJ45 CAT6 para Rede - 50 Unidades";"Conectores e Acessórios";"Intelbras";"";"un";"31,39";"EXSAT"
"4570103";"Testador de Cabo Tester 3000 RJ45";"Conectores e Acessórios";"Intelbras";"";"un";"434,28";"EXSAT"
"4710031";"Conector RJ45 Fêmea 90° Cat 5 Keystone Jack";"Conectores e Acessórios";"Intelbras";"";"un";"9,71";"EXSAT"
"4770037";"PATCH PANEL IMPACT LAN CAT5E PP524";"Patch Panel";"Intelbras";"";"un";"203,51";"EXSAT"
"4770068";"Patch Panel Descarregado PPD24 Intelbras";"Patch Panel";"Intelbras";"";"un";"73,72";"EXSAT"
"4770069";"PATCH PANEL DESCARREGADO BLINDADO PPDB24";"Patch Panel";"Intelbras";"";"un";"81,65";"EXSAT"
"7899658703066";"Cabo de Rede CAT 5E Preto 305m";"Cabos de Rede";"Intelbras";"";"un";"680,15";"EXSAT"
"4830004";"Cabo U/UTP CAT.6 Preto Intelbras 305m";"Cabos de Rede";"Intelbras";"";"un";"1049,90";"EXSAT"
"4830008";"Cabo U/UTP Categoria CAT.6 Azul - Intelbras";"Cabos de Rede";"Intelbras";"";"un";"1049,90";"EXSAT"
"4830030";"Cabo de Rede CAT 5E 4P Azul 305m Intelbras";"Cabos de Rede";"Intelbras";"";"un";"789,90";"EXSAT"
"368721";"Cabo de Rede Cat6 Furukawa Preto Soho Plus";"Cabos de Rede";"Intelbras";"";"un";"1449,00";"EXSAT"
"4830134";"Cabo de Rede CAT 5E 4P Branco 305m - Intelbras";"Cabos de Rede";"Intelbras";"";"un";"789,90";"EXSAT"
"4830135";"Cabo de Rede CAT 5E 4P Preto 305m Intelbras";"Cabos de Rede";"Intelbras";"";"un";"789,90";"EXSAT"
"4842796";"Gabinete Outdoor para 2 Baterias 105Ah GAB 2BAT105";"Racks e Acessorios";"Intelbras";"";"un";"2876,44";"EXSAT"
"4770008";"Conjunto 4 Ventiladores para Rack KVR4V";"Acessórios para Rack";"Intelbras";"";"un";"395,51";"EXSAT"
"4830059";"Patch Cord U/UTP 4 Pares Categoria 5E Preto 1,5 Metros";"Patch Cord";"Intelbras";"";"un";"13,02";"EXSAT"
"4920439";"Placa 16 Ramais Desbalanceados CP48 CP112 Intelbras";"Acessórios e Peças";"Intelbras";"";"un";"514,63";"EXSAT"
"4080051";"Telefone Pleno com Fio Preto";"Telefones";"Intelbras";"";"un";"52,47";"EXSAT"
"4521102";"Telefone Sem Fio com Ramal Externo Intelbras TIS 5010";"Telefones Sem Fio";"Intelbras";"";"un";"483,82";"EXSAT"
"4010043";"Headset Monoauricular Intelbras THS 40 USB";"Headset";"Intelbras";"";"un";"230,66";"EXSAT"
"4123111";"Telefone Sem Fio Intelbras TS3111";"Telefones Sem Fio";"Intelbras";"";"un";"112,64";"EXSAT"
"4090401";"Telefone Gondola TC20 com Fio Preto";"Telefones";"Intelbras";"";"un";"42,06";"EXSAT"
"4163002";"RADIO COMUNICADOR RC 3002 G2 (PAR)";"Radiocomunicação";"Intelbras";"";"un";"370,62";"EXSAT"
"4503300";"Placa 8 Ramais Desbalanceados Central Telefônica Comunic 16/48 Intelbras";"Placas";"Intelbras";"";"un";"190,03";"EXSAT"
"4125121";"Telefone Sem Fio TS 5121 Ramal Preto";"Telefones Sem Fio";"Intelbras";"";"un";"152,46";"EXSAT"
"4013330";"Telefone Headset HSB50";"Headset";"Intelbras";"";"un";"144,42";"EXSAT"
"4528102";"RADIO COMUNICADOR RC 4102";"Radiocomunicação";"Intelbras";"";"un";"788,42";"EXSAT"
"4160037";"Radio Comunicador Pro Movel VHF RM 8";"Radiocomunicação";"Intelbras";"";"un";"2399,00";"EXSAT"
"4060200";"Conversor de Protocolos IP Intelbras ATA 200";"Gateway";"Intelbras";"";"un";"413,38";"EXSAT"
"4119041";"Telefone Celular Fixo 4G Wi-Fi CFW 9041";"Telefone Celular Fixo";"Intelbras";"";"un";"464,91";"EXSAT"
"4080086";"Telefone com Fio TC 50 Premium Preto Intelbras";"Telefones";"Intelbras";"";"un";"65,98";"EXSAT"
"4503001";"Central de Comunicação COMUNIC 48 Sem Ramais C EMB";"Central Telefônica";"Intelbras";"";"un";"849,09";"EXSAT"
"4331000";"Central Telefonica Modulare Mais 2x4 Intelbras";"Central Telefônica";"Intelbras";"";"un";"2014,09";"EXSAT"
"4320010";"Central Digital Impacta 16";"Central Telefônica";"Intelbras";"";"un";"900,00";"EXSAT"
"4990083";"Placa 4 Ramais Analógicos Impacta";"Placas";"Intelbras";"";"un";"488,32";"EXSAT"
"4400100";"Placa Base ICIP30 Impacta 68I";"Placas";"Intelbras";"";"un";"2190,42";"EXSAT"
"4950351";"Tela Digital Interativa TDi 7865 EDU 65 Polegadas";"Telas Interativas";"Intelbras";"";"un";"16500,00";"EXSAT"
"4630008";"Bloco de Iluminação Autônomo BLA 1202 IP65";"Iluminação de Emergência";"Intelbras";"";"un";"309,02";"EXSAT"
"4824001";"Protetor Eletrônico com 4 Tomadas EPE 1004";"Protetores e Filtros";"Intelbras";"";"un";"30,52";"EXSAT"
"4822202";"Nobreak ATTIV 600VA-BI Intelbras";"Nobreaks e Acessórios";"Intelbras";"";"un";"374,21";"EXSAT"
"4824201";"Protetor Eletrônico Intelbras EPE 205 5 Tomadas Preto";"Protetores e Filtros";"Intelbras";"";"un";"30,53";"EXSAT"
"4824300";"Protetor Eletrônico com 8 Tomadas para Rack EPR 208";"Protetores e Filtros";"Intelbras";"";"un";"76,23";"EXSAT"
"4824503";"Dispositivo de Proteção Elétrica EPS 301 BR";"Tomadas e Extensões";"Intelbras";"";"un";"29,18";"EXSAT"
"4830169";"Extensão Elétrica 3 Tomadas 3 Pinos 10A 5M Preta";"Tomadas e Extensões";"Intelbras";"";"un";"28,57";"EXSAT"
"4630032";"Luminária de Emergência Autônoma LEA150";"Iluminação de Emergência";"Intelbras";"";"un";"22,59";"EXSAT"
"4822036";"Cabo Engate Rápido CBO 603 Intelbras";"Nobreaks e Acessórios";"Intelbras";"";"un";"81,77";"EXSAT"
"4824302";"Protetor Eletrônico EPR 208+ Intelbras Rack 8 Tomadas";"Protetores e Filtros";"Intelbras";"";"un";"84,71";"EXSAT"
"FS-519";"Protetor eletrônico FS-529 220 volts 10A";"Protetores e Filtros";"Intelbras";"";"un";"43,34";"EXSAT"
"4830147";"Extensão Elétrica EXT 2005 3 Tomadas 5M Preta";"Tomadas e Extensões";"Intelbras";"";"un";"15,64";"EXSAT"
"4820060";"Nobreak Attiv Seno 700VA-BI Intelbras Senoidal";"Nobreaks e Acessórios";"Intelbras";"";"un";"518,27";"EXSAT"
"4632200";"Bloco de Iluminação Autônomo BLA 2200";"Iluminação de Emergência";"Intelbras";"";"un";"196,54";"EXSAT"
"4630600";"Bloco de Iluminação Autônomo BLA 600";"Iluminação de Emergência";"Intelbras";"";"un";"116,72";"EXSAT"
"4822209";"Nobreak Intelbras ATTIV 1200VA BI Bivolt";"Nobreaks e Acessórios";"Intelbras";"";"un";"717,14";"EXSAT"
"4822205";"Nobreak ATTIV 700VA-BI Intelbras";"Nobreaks e Acessórios";"Intelbras";"";"un";"416,48";"EXSAT"
"4630010";"Bloco de Iluminação Autônomo BLA 3000";"Iluminação de Emergência";"Intelbras";"";"un";"314,99";"EXSAT"
"4824200";"Protetor Eletrônico com 5 Tomadas Intelbras EPE 205 BR";"Protetores e Filtros";"Intelbras";"";"un";"30,53";"EXSAT"
"FS-561";"Calha 08 Tomadas 10A para Rack 19” Fasgold com Fixação Metálica – Bivolt";"Protetores e Filtros";"Intelbras";"";"un";"74,22";"EXSAT"
"4850030";"Interruptor Smart Wifi Touch EWS 1006 Branco EWS";"Tomadas e Extensões";"Intelbras";"";"un";"174,76";"EXSAT"
"4850064";"Tomada Dupla Inteligente Wi-Fi Intelbras ETS 1002";"Tomadas e Extensões";"Intelbras";"";"un";"124,60";"EXSAT"
"4822003";"Nobreak Intelbras XNB 1440VA 220V";"Nobreaks e Acessórios";"Intelbras";"";"un";"798,95";"EXSAT"
"4822001";"Nobreak XNB 720VA 220V Intelbras";"Nobreaks e Acessórios";"Intelbras";"";"un";"404,65";"EXSAT"
"4822004";"Nobreak XNB 600VA 120V Intelbras";"Nobreaks e Acessórios";"Intelbras";"";"un";"299,90";"EXSAT"
"4822006";"Nobreak Interativo Intelbras XNB 1200VA 120V";"Nobreaks e Acessórios";"Intelbras";"";"un";"599,90";"EXSAT"
"4822007";"Nobreak Interativo XNB 1200VA 220V Intelbras";"Nobreaks e Acessórios";"Intelbras";"";"un";"599,90";"EXSAT"
"4822005";"Nobreak Interativo XNB 600VA 220V Intelbras";"Nobreaks e Acessórios";"Intelbras";"";"un";"289,00";"EXSAT"
